"tx_id","tx_biotype","tx_seq_start","tx_seq_end","tx_cds_seq_start","tx_cds_seq_end","gene_id","tx_name","gene_name"
"ENST00000290378","protein_coding",34788096,34796139,34790412,34794808,"ENSG00000159251","ENST00000290378","ACTC1"
"LRG_388t1","LRG_gene",34788096,34795726,34790412,34794808,"LRG_388","LRG_388t1","ACTC1"
"ENST00000557860","processed_transcript",34791158,34792851,NA,NA,"ENSG00000159251","ENST00000557860","ACTC1"
"ENST00000560563","retained_intron",34791701,34792522,NA,NA,"ENSG00000159251","ENST00000560563","ACTC1"
